new_id,id,assoc_wdid,assoc_stream_id,water_division,water_district,stream_name,structure_category,location_on_google_maps,latitude,longitude,ah_tot_score,ph_tot_score,rec_tot_score,wc_tot_score
1,2,200802,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.7903086681683,-104.969886449964,20z",39.7903,-104.9699,0.000295628,0.195843039,0.326472886,0.227184618
2,16,200817,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.1275484024963,-104.815845225674,20z",40.1275,-104.8158,0.126135888,0.172728902,0.323916015,0.337227185
3,20,200808,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.8776123797708,-104.904116355076,20z",39.8776,-104.9041,0.160796667,0.188138326,0.32644678,0.314791597
4,25,6400502,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.9548825316809,-102.383731018498,20z",40.9549,-102.3837,0.463862131,0.017917936,0.337314529,0.41037072
5,26,6400503,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.9425632193612,-102.446562618966,20z",40.9426,-102.4466,NA,0.013796811,NA,NA
6,27,6400504,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.9234045466779,-102.549077039027,20z",40.9234,-102.5491,0.513647657,0.017022039,0.400958681,0.619858941
7,28,6400511,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.8231487680223,-102.874243791317,20z",40.8231,-102.8742,NA,0.068804874,NA,NA
8,29,6400511,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.7253929217749,-103.124090441958,20z",40.7254,-103.1241,0.485231144,0.03063967,0.321901817,0.540647757
9,30,6400521,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.6754493695658,-103.132465961717,20z",40.6754,-103.1325,0.443540741,0.044078122,0.298740544,0.41031885
10,31,6400524,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.6210199530936,-103.188574974242,20z",40.621,-103.1886,NA,0.046228275,NA,NA
11,32,6402922,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.5644375775503,-103.235016813376,20z",40.5644,-103.235,0.75649794,0.051424476,0.304072681,0.695608028
12,33,6400528,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.5455429013756,-103.256954523836,20z",40.5455,-103.257,NA,0.066833901,NA,NA
13,34,6400530,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.5346527477917,-103.275193069448,20z",40.5347,-103.2752,NA,0.072209281,NA,NA
14,35,6400533,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.4570047827672,-103.390867156696,20z",40.457,-103.3909,0.50065509,0.084572657,0.315175955,0.521398302
15,36,6400535,201759,1,64,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.4105802150196,-103.438169248278,20z",40.4106,-103.4382,0.315138827,0.088335424,0.269432888,0.278503014
16,37,100829,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3796535725224,-103.478732707865,20z",40.3797,-103.4787,0.236364966,0.088872962,0.291083144,0.230702416
17,38,100687,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3522432853112,-103.540471015923,20z",40.3522,-103.5405,0.540075487,0.087081168,0.312448761,0.596649082
18,39,100518,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2807052637153,-103.701409146757,20z",40.2807,-103.7014,0.544013325,0.467478946,0.307288941,0.352007636
19,40,100515,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2751877112633,-103.833838694054,20z",40.2752,-103.8338,0.167980569,0.033864899,0.324981926,0
20,41,100517,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2774137192043,-103.835936943993,20z",40.2774,-103.8359,0.435392948,0.035119154,0.323552097,0.435484893
21,43,100513,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3070250264249,-104.250061175213,20z",40.307,-104.2501,0.515641342,0.140834976,0.237767691,0.61645796
22,43,200834,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3617754707614,-104.703590314207,20z",40.3618,-104.7036,0.21936458,0.153019172,0.326758423,0.245766968
23,44,100507,201759,1,1,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3173660653613,-104.376442011435,20z",40.3174,-104.3764,0.499112846,0.144776922,0.262380665,0.541396952
24,45,200828,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3128998001335,-104.816505481805,20z",40.3129,-104.8165,0.184209379,0.160007167,0.321997451,0.258472055
25,45,200837,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.4010867604127,-104.619779533313,20z",40.4011,-104.6198,0.336634823,0.148539688,0.326938978,0.052278848
26,46,200826,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2444986346335,-104.862538351058,20z",40.2445,-104.8625,0.205627255,0.167353521,0.324886606,0.305110274
27,46,200836,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.3896802615143,-104.659801127925,20z",40.3897,-104.6598,0.25267267,0.150510661,0.324332707,0.045544773
28,47,202959,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.233042617695,-104.858667728368,20z",40.233,-104.8587,0.209962886,0.168070238,0.325868885,0.082055018
29,48,200824,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.2068635786584,-104.82773332222,20z",40.2069,-104.8277,0.231907693,0.168966135,0.327207376,0.292858506
30,49,200819,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.1695532583833,-104.841508350459,20z",40.1696,-104.8415,0.084030214,0.170041211,0.318823982,0.297734934
31,50,200822,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.1668000321791,-104.840708187474,20z",40.1668,-104.8407,0.092426807,0.170220391,0.320129913,0.337059656
32,51,200821,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.1218456403755,-104.821580681196,20z",40.1218,-104.8216,0.154123902,0.173624798,0.324858232,0.286252798
33,52,200813,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.0942369414548,-104.819075388367,20z",40.0942,-104.8191,0.239773206,0.174341516,0.32722789,0.361349779
34,53,200812,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.0349905364672,-104.829433843949,20z",40.035,-104.8294,0.234320811,0.374843218,0.657521389,0.367725034
35,55,200810,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.9739271963522,-104.850873424432,20z",39.9739,-104.8509,0.288303192,0.179537717,0.327216669,0.397451368
36,58,200809,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.9064029354398,-104.89527923338,20z",39.9064,-104.8953,0.181978271,0.18706325,0.325278617,0.33227522
37,60,,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.8922149982436,-104.90107345278,20z",39.8922,-104.9011,0.153005464,0.187600788,0.326537171,0.340078775
38,76,202955,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.7545381791019,-105.008876768312,20z",39.7545,-105.0089,0.158005465,0.392940333,0.659059178,0.283978812
