"new_id","structure_category","num_fatalities","rank","num_fishing_spots","aw","hazard_score","ph_tot_score"
156,"Diversion Dam",4,1014,NA,1,4,17.0782529572339
784,"Grade Control Structure",3,48,NA,1,4,14.9572338489536
160,"Diversion Dam",2,305,NA,0,4,10.7233848953594
18,"Diversion Dam",2,689,NA,0,4,10.3739763421292
442,"Diversion Dam",1,309,1,0,4,8.71974522292994
893,"Grade Control Structure",2,935,NA,1,1,8.15013648771611
58,"Diversion Dam",1,276,NA,0,4,7.74977252047316
119,"Diversion Dam",NA,130,1,1,4,6.88262056414923
349,"Diversion Dam",NA,470,1,1,4,6.57324840764331
239,"Diversion Dam",NA,877,1,1,4,6.20291173794359
